2025-02-23 00:11:58.510 [warning] Dir "/home/jerushastewa2022/.pixi/envs" is not watchable (directory does not exist)
2025-02-23 00:36:16.189 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:36:21.027 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:36:22.403 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:36:27.344 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:36:29.753 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:36:33.435 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:36:45.604 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:36:59.015 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:37:11.536 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:37:58.818 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:38:21.286 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:39:12.068 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:39:18.123 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:39:26.545 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:39:29.781 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:40:05.063 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:40:44.282 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:40:45.391 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:40:53.870 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:51:34.262 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:51:36.108 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:51:37.760 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:51:43.504 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:51:45.401 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:51:46.676 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:51:49.305 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:51:50.892 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:52:48.381 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 01:02:45.567 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
